> dieharder -a -f  /media/psf/M2/RandomData.txt -t 10 

#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|    /media/psf/M2/RandomData.txt|  1.36e+08  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  19|   1000000|     100|0.85169225|  PASSED  
      rgb_lagged_sum|  20|   1000000|     100|0.19425258|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.43326376|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.38461744|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.92418172|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.84761684|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.49161056|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.16274558|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.36227852|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.42045057|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.82568970|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.39828389|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.78231370|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.58202240|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.10994667|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.75493020|  PASSED  
             dab_dct| 256|     50000|       1|0.04459030|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.38780794|  PASSED  
        dab_filltree|  32|  15000000|       1|0.73859944|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.06976114|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.37370136|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.45285125|  PASSED  


